#sample	 RC_RC_1
#d(mm)	 17.0
#D(mm)	 321.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 2
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 2 
#notes	 RkOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 33.5469999313
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
2.0576e+04	7.6718e+06	-8.9805e+01	2.3920e-02	8.1286e-05
2.1355e+04	7.4145e+06	-8.9873e+01	2.3847e-02	5.2986e-05
2.2163e+04	7.1364e+06	-8.9885e+01	2.3873e-02	4.7982e-05
2.3002e+04	6.8798e+06	-8.9893e+01	2.3860e-02	4.4639e-05
2.3873e+04	6.6194e+06	-8.9865e+01	2.3894e-02	5.6233e-05
2.4777e+04	6.3871e+06	-8.9885e+01	2.3860e-02	4.7705e-05
2.5715e+04	6.1508e+06	-8.9902e+01	2.3873e-02	4.0753e-05
2.6689e+04	5.9163e+06	-8.9946e+01	2.3913e-02	2.2353e-05
2.7699e+04	5.7085e+06	-8.9918e+01	2.3880e-02	3.3976e-05
2.8748e+04	5.5089e+06	-8.9830e+01	2.3842e-02	7.0579e-05
2.9836e+04	5.2727e+06	-8.9956e+01	2.4002e-02	1.8265e-05
3.0966e+04	5.1098e+06	-8.9848e+01	2.3864e-02	6.3298e-05
3.2138e+04	4.9161e+06	-8.9422e+01	2.3898e-02	2.4122e-04
3.3355e+04	4.7546e+06	-8.9917e+01	2.3809e-02	3.4297e-05
3.4618e+04	4.5792e+06	-8.9932e+01	2.3819e-02	2.8412e-05
3.5928e+04	4.4075e+06	-8.9868e+01	2.3845e-02	5.4844e-05
3.7289e+04	4.2438e+06	-8.9858e+01	2.3861e-02	5.9165e-05
3.8700e+04	4.0871e+06	-8.9844e+01	2.3872e-02	6.4897e-05
4.0166e+04	3.9370e+06	-8.9887e+01	2.3878e-02	4.7223e-05
4.1686e+04	3.7935e+06	-8.9872e+01	2.3877e-02	5.3173e-05
4.3264e+04	3.6597e+06	-8.9910e+01	2.3848e-02	3.7624e-05
4.4902e+04	3.5260e+06	-8.9944e+01	2.3849e-02	2.3144e-05
4.6602e+04	3.3978e+06	-8.9911e+01	2.3846e-02	3.7100e-05
4.8367e+04	3.2772e+06	-8.9878e+01	2.3822e-02	5.0775e-05
5.0198e+04	3.1564e+06	-8.9844e+01	2.3831e-02	6.4998e-05
5.2098e+04	3.0372e+06	-8.9934e+01	2.3863e-02	2.7292e-05
5.4071e+04	2.9309e+06	-8.9896e+01	2.3826e-02	4.3196e-05
5.6118e+04	2.8233e+06	-8.9882e+01	2.3832e-02	4.9048e-05
5.8243e+04	2.7176e+06	-8.9877e+01	2.3856e-02	5.1197e-05
6.0448e+04	2.6221e+06	-8.9817e+01	2.3822e-02	7.6173e-05
6.2736e+04	2.5219e+06	-8.9864e+01	2.3866e-02	5.6707e-05
6.5111e+04	2.4314e+06	-8.9877e+01	2.3851e-02	5.1320e-05
6.7576e+04	2.3448e+06	-8.9879e+01	2.3830e-02	5.0179e-05
7.0135e+04	2.2599e+06	-8.9867e+01	2.3823e-02	5.5210e-05
7.2790e+04	2.1771e+06	-8.9884e+01	2.3827e-02	4.8105e-05
7.5546e+04	2.0974e+06	-8.9909e+01	2.3830e-02	3.8005e-05
7.8406e+04	2.0220e+06	-8.9900e+01	2.3817e-02	4.1461e-05
8.1375e+04	1.9477e+06	-8.9867e+01	2.3824e-02	5.5491e-05
8.4455e+04	1.8774e+06	-8.9823e+01	2.3814e-02	7.3425e-05
8.7653e+04	1.8077e+06	-8.9877e+01	2.3830e-02	5.1040e-05
9.0971e+04	1.7439e+06	-8.9888e+01	2.3801e-02	4.6499e-05
9.4416e+04	1.6790e+06	-8.9895e+01	2.3818e-02	4.3743e-05
9.7990e+04	1.6204e+06	-9.0021e+01	2.3780e-02	-8.8283e-06
1.0170e+05	1.5594e+06	-8.9866e+01	2.3810e-02	5.5644e-05
1.0555e+05	1.5044e+06	-8.9712e+01	2.3779e-02	1.1952e-04
1.0955e+05	1.4485e+06	-8.9801e+01	2.3796e-02	8.2820e-05
1.1369e+05	1.3919e+06	-9.0070e+01	2.3859e-02	-2.9270e-05
1.1800e+05	1.3419e+06	-8.9858e+01	2.3846e-02	5.9186e-05
1.2247e+05	1.2979e+06	-8.9858e+01	2.3756e-02	5.9040e-05
1.2710e+05	1.2492e+06	-8.9967e+01	2.3781e-02	1.3705e-05
1.3191e+05	1.2022e+06	-8.9834e+01	2.3809e-02	6.8961e-05
1.3691e+05	1.1575e+06	-8.9800e+01	2.3828e-02	8.3214e-05
1.4209e+05	1.1161e+06	-8.9886e+01	2.3810e-02	4.7181e-05
1.4747e+05	1.0751e+06	-8.9826e+01	2.3815e-02	7.2213e-05
1.5305e+05	1.0361e+06	-8.9907e+01	2.3810e-02	3.8705e-05
