#sample	 RCRC_1
#d(mm)	 1.978
#D(mm)	 6.506
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 3
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 32 
#notes	 R4.7kOhms_C47nF_R4.7kOhms_C1pF
#time_of_analysis	 482.128999949
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
1.7783e+06	4.5648e+03	-3.6805e+00	8.4576e+00	1.3148e+02
1.8456e+06	4.5641e+03	-3.8179e+00	8.4542e+00	1.2669e+02
1.9155e+06	4.5633e+03	-3.9597e+00	8.4494e+00	1.2206e+02
1.9880e+06	4.5623e+03	-4.1092e+00	8.4497e+00	1.1761e+02
2.0633e+06	4.5615e+03	-4.2607e+00	8.4426e+00	1.1332e+02
2.1414e+06	4.5605e+03	-4.4197e+00	8.4396e+00	1.0919e+02
2.2224e+06	4.5593e+03	-4.5828e+00	8.4333e+00	1.0521e+02
2.3066e+06	4.5582e+03	-4.7527e+00	8.4281e+00	1.0137e+02
2.3939e+06	4.5570e+03	-4.9285e+00	8.4225e+00	9.7674e+01
2.4845e+06	4.5556e+03	-5.1144e+00	8.4232e+00	9.4113e+01
2.5786e+06	4.5542e+03	-5.3053e+00	8.4207e+00	9.0681e+01
2.6762e+06	4.5527e+03	-5.5009e+00	8.4145e+00	8.7374e+01
2.7776e+06	4.5510e+03	-5.7062e+00	8.4124e+00	8.4189e+01
2.8827e+06	4.5493e+03	-5.9197e+00	8.4109e+00	8.1118e+01
2.9919e+06	4.5473e+03	-6.1401e+00	8.4082e+00	7.8160e+01
3.1051e+06	4.5453e+03	-6.3704e+00	8.4080e+00	7.5309e+01
3.2227e+06	4.5432e+03	-6.6074e+00	8.4052e+00	7.2562e+01
3.3447e+06	4.5407e+03	-6.8532e+00	8.4029e+00	6.9917e+01
3.4713e+06	4.5383e+03	-7.1071e+00	8.3995e+00	6.7366e+01
3.6028e+06	4.5355e+03	-7.3721e+00	8.3983e+00	6.4910e+01
3.7392e+06	4.5326e+03	-7.6460e+00	8.3962e+00	6.2544e+01
3.8807e+06	4.5294e+03	-7.9302e+00	8.3946e+00	6.0263e+01
4.0276e+06	4.5260e+03	-8.2242e+00	8.3924e+00	5.8066e+01
4.1801e+06	4.5223e+03	-8.5298e+00	8.3915e+00	5.5950e+01
4.3384e+06	4.5185e+03	-8.8452e+00	8.3891e+00	5.3909e+01
4.5026e+06	4.5142e+03	-9.1719e+00	8.3871e+00	5.1945e+01
4.6731e+06	4.5098e+03	-9.5118e+00	8.3861e+00	5.0050e+01
4.8500e+06	4.5050e+03	-9.8628e+00	8.3844e+00	4.8226e+01
5.0336e+06	4.4999e+03	-1.0227e+01	8.3834e+00	4.6467e+01
5.2242e+06	4.4942e+03	-1.0604e+01	8.3825e+00	4.4774e+01
5.4220e+06	4.4884e+03	-1.0995e+01	8.3814e+00	4.3140e+01
5.6273e+06	4.4820e+03	-1.1397e+01	8.3791e+00	4.1568e+01
