#sample	 RC_RC_0
#d(mm)	 1.0
#D(mm)	 1.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 4
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 64 
#notes	 R4,7kOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 1795.22099996
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
1.0555e+05	3.1876e+01	-8.3114e+01	6.7532e+06	8.1549e+05
1.0955e+05	3.0748e+01	-8.2926e+01	6.7430e+06	8.3675e+05
1.1369e+05	2.9660e+01	-8.2732e+01	6.7323e+06	8.5865e+05
1.1800e+05	2.8614e+01	-8.2532e+01	6.7210e+06	8.8107e+05
1.2247e+05	2.7605e+01	-8.2326e+01	6.7092e+06	9.0405e+05
1.2710e+05	2.6633e+01	-8.2109e+01	6.6969e+06	9.2818e+05
1.3191e+05	2.5697e+01	-8.1886e+01	6.6841e+06	9.5295e+05
1.3691e+05	2.4794e+01	-8.1655e+01	6.6709e+06	9.7855e+05
1.4209e+05	2.3924e+01	-8.1416e+01	6.6570e+06	1.0049e+06
1.4747e+05	2.3087e+01	-8.1167e+01	6.6424e+06	1.0322e+06
1.5305e+05	2.2280e+01	-8.0913e+01	6.6272e+06	1.0600e+06
1.5885e+05	2.1504e+01	-8.0649e+01	6.6111e+06	1.0887e+06
1.6486e+05	2.0755e+01	-8.0373e+01	6.5944e+06	1.1185e+06
1.7110e+05	2.0034e+01	-8.0089e+01	6.5768e+06	1.1491e+06
1.7758e+05	1.9341e+01	-7.9797e+01	6.5582e+06	1.1804e+06
1.8431e+05	1.8672e+01	-7.9494e+01	6.5389e+06	1.2126e+06
1.9128e+05	1.8028e+01	-7.9181e+01	6.5187e+06	1.2458e+06
1.9853e+05	1.7408e+01	-7.8858e+01	6.4975e+06	1.2797e+06
2.0604e+05	1.6811e+01	-7.8525e+01	6.4753e+06	1.3145e+06
2.1384e+05	1.6236e+01	-7.8183e+01	6.4522e+06	1.3500e+06
2.2194e+05	1.5683e+01	-7.7828e+01	6.4277e+06	1.3864e+06
2.3034e+05	1.5150e+01	-7.7462e+01	6.4020e+06	1.4238e+06
2.3906e+05	1.4637e+01	-7.7085e+01	6.3753e+06	1.4619e+06
2.4811e+05	1.4143e+01	-7.6696e+01	6.3473e+06	1.5009e+06
2.5751e+05	1.3668e+01	-7.6294e+01	6.3176e+06	1.5408e+06
2.6726e+05	1.3211e+01	-7.5880e+01	6.2865e+06	1.5814e+06
2.7737e+05	1.2771e+01	-7.5455e+01	6.2540e+06	1.6226e+06
2.8788e+05	1.2347e+01	-7.5017e+01	6.2198e+06	1.6646e+06
2.9877e+05	1.1941e+01	-7.4566e+01	6.1839e+06	1.7073e+06
3.1009e+05	1.1549e+01	-7.4101e+01	6.1464e+06	1.7507e+06
3.2183e+05	1.1172e+01	-7.3622e+01	6.1070e+06	1.7948e+06
3.3401e+05	1.0810e+01	-7.3131e+01	6.0658e+06	1.8394e+06
3.4666e+05	1.0462e+01	-7.2624e+01	6.0225e+06	1.8846e+06
3.5978e+05	1.0128e+01	-7.2104e+01	5.9773e+06	1.9302e+06
3.7340e+05	9.8058e+00	-7.1570e+01	5.9300e+06	1.9761e+06
3.8754e+05	9.4965e+00	-7.1027e+01	5.8809e+06	2.0218e+06
4.0221e+05	9.1995e+00	-7.0466e+01	5.8294e+06	2.0682e+06
4.1744e+05	8.9142e+00	-6.9892e+01	5.7756e+06	2.1145e+06
4.3324e+05	8.6401e+00	-6.9306e+01	5.7196e+06	2.1606e+06
4.4964e+05	8.3774e+00	-6.8705e+01	5.6610e+06	2.2065e+06
4.6667e+05	8.1249e+00	-6.8090e+01	5.6001e+06	2.2524e+06
4.8433e+05	7.8829e+00	-6.7459e+01	5.5365e+06	2.2980e+06
5.0267e+05	7.6504e+00	-6.6817e+01	5.4708e+06	2.3428e+06
5.2170e+05	7.4277e+00	-6.6160e+01	5.4022e+06	2.3872e+06
5.4145e+05	7.2141e+00	-6.5492e+01	5.3313e+06	2.4305e+06
5.6195e+05	7.0093e+00	-6.4813e+01	5.2579e+06	2.4728e+06
5.8323e+05	6.8133e+00	-6.4120e+01	5.1819e+06	2.5140e+06
6.0531e+05	6.6254e+00	-6.3415e+01	5.1034e+06	2.5539e+06
6.2823e+05	6.4455e+00	-6.2699e+01	5.0225e+06	2.5924e+06
6.5201e+05	6.2735e+00	-6.1972e+01	4.9390e+06	2.6292e+06
6.7670e+05	6.1088e+00	-6.1238e+01	4.8534e+06	2.6640e+06
7.0232e+05	5.9512e+00	-6.0493e+01	4.7655e+06	2.6970e+06
7.2891e+05	5.8006e+00	-5.9745e+01	4.6757e+06	2.7273e+06
7.5650e+05	5.6568e+00	-5.8986e+01	4.5836e+06	2.7556e+06
7.8514e+05	5.5193e+00	-5.8221e+01	4.4897e+06	2.7814e+06
8.1487e+05	5.3881e+00	-5.7451e+01	4.3939e+06	2.8045e+06
8.4572e+05	5.2632e+00	-5.6675e+01	4.2962e+06	2.8248e+06
8.7774e+05	5.1442e+00	-5.5890e+01	4.1967e+06	2.8425e+06
9.1097e+05	5.0304e+00	-5.5110e+01	4.0965e+06	2.8568e+06
9.4546e+05	4.9224e+00	-5.4326e+01	3.9949e+06	2.8679e+06
9.8125e+05	4.8189e+00	-5.3547e+01	3.8931e+06	2.8758e+06
1.0184e+06	4.7205e+00	-5.2769e+01	3.7905e+06	2.8804e+06
1.0570e+06	4.6270e+00	-5.1991e+01	3.6873e+06	2.8818e+06
1.0970e+06	4.5389e+00	-5.1210e+01	3.5828e+06	2.8797e+06
1.1385e+06	4.4560e+00	-5.0457e+01	3.4789e+06	2.8722e+06
1.1816e+06	4.3762e+00	-4.9697e+01	3.3754e+06	2.8629e+06
1.2263e+06	4.3007e+00	-4.8942e+01	3.2721e+06	2.8502e+06
1.2728e+06	4.2292e+00	-4.8196e+01	3.1694e+06	2.8342e+06
1.3210e+06	4.1618e+00	-4.7454e+01	3.0670e+06	2.8150e+06
1.3710e+06	4.0977e+00	-4.6732e+01	2.9665e+06	2.7923e+06
1.4229e+06	4.0367e+00	-4.6028e+01	2.8676e+06	2.7665e+06
1.4767e+06	3.9790e+00	-4.5344e+01	2.7706e+06	2.7375e+06
1.5327e+06	3.9249e+00	-4.4672e+01	2.6748e+06	2.7056e+06
1.5907e+06	3.8739e+00	-4.4016e+01	2.5808e+06	2.6710e+06
1.6509e+06	3.8256e+00	-4.3380e+01	2.4889e+06	2.6338e+06
1.7134e+06	3.7800e+00	-4.2766e+01	2.3994e+06	2.5942e+06
1.7783e+06	3.7371e+00	-4.2176e+01	2.3122e+06	2.5522e+06
1.8456e+06	3.6976e+00	-4.1599e+01	2.2265e+06	2.5079e+06
1.9155e+06	3.6607e+00	-4.1046e+01	2.1433e+06	2.4616e+06
1.9880e+06	3.6258e+00	-4.0523e+01	2.0630e+06	2.4136e+06
2.0633e+06	3.5932e+00	-4.0025e+01	1.9854e+06	2.3640e+06
2.1414e+06	3.5628e+00	-3.9556e+01	1.9104e+06	2.3129e+06
2.2224e+06	3.5349e+00	-3.9107e+01	1.8376e+06	2.2606e+06
2.3066e+06	3.5093e+00	-3.8687e+01	1.7673e+06	2.2070e+06
2.3939e+06	3.4850e+00	-3.8302e+01	1.7003e+06	2.1528e+06
2.4845e+06	3.4624e+00	-3.7949e+01	1.6361e+06	2.0979e+06
2.5786e+06	3.4414e+00	-3.7631e+01	1.5747e+06	2.0425e+06
2.6762e+06	3.4218e+00	-3.7344e+01	1.5160e+06	1.9869e+06
2.7776e+06	3.4038e+00	-3.7093e+01	1.4600e+06	1.9309e+06
2.8827e+06	3.3873e+00	-3.6874e+01	1.4065e+06	1.8750e+06
2.9919e+06	3.3728e+00	-3.6685e+01	1.3550e+06	1.8188e+06
3.1051e+06	3.3602e+00	-3.6524e+01	1.3055e+06	1.7627e+06
3.2227e+06	3.3489e+00	-3.6400e+01	1.2584e+06	1.7069e+06
3.3447e+06	3.3388e+00	-3.6313e+01	1.2137e+06	1.6514e+06
3.4713e+06	3.3300e+00	-3.6261e+01	1.1710e+06	1.5964e+06
